"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1307","rejects login: wrong user, right password","chromium","Mon Sep 14 13:43:49 UTC 2026","passed","Mon Sep 14 13:43:51 UTC 2026","admin login","","",""
"","1687","title matches the expected pattern","chromium","Mon Sep 14 13:44:05 UTC 2026","passed","Mon Sep 14 13:44:07 UTC 2026","home page navigation","","",""
"","3968","a message sent via the contact API shows up in the inbox","firefox","Mon Sep 14 13:43:59 UTC 2026","passed","Mon Sep 14 13:44:03 UTC 2026","admin message inbox","","",""
"","1519","filtering by lastname surfaces a freshly-created booking","api","Mon Sep 14 13:43:33 UTC 2026","passed","Mon Sep 14 13:43:35 UTC 2026","booking list & filter","","",""
"","0","mobile: dates can be picked via calendar widget","firefox","Mon Sep 14 13:44:08 UTC 2026","skipped","Mon Sep 14 13:44:08 UTC 2026","booking flow","","",""
"","416","GET /booking/{id} returns the same booking","api","Mon Sep 14 13:43:31 UTC 2026","passed","Mon Sep 14 13:43:31 UTC 2026","booking CRUD","","",""
"","2269","message field accepts long text","firefox","Mon Sep 14 13:44:08 UTC 2026","passed","Mon Sep 14 13:44:11 UTC 2026","contact form","","",""
"","1513","login form has username and password fields","webkit","Mon Sep 14 13:44:09 UTC 2026","passed","Mon Sep 14 13:44:11 UTC 2026","admin login","","",""
"","2691","valid credentials log the admin in","webkit","Mon Sep 14 13:44:02 UTC 2026","passed","Mon Sep 14 13:44:04 UTC 2026","admin login","","",""
"","269","POST /room creates a room under the admin token","api","Mon Sep 14 13:43:37 UTC 2026","passed","Mon Sep 14 13:43:37 UTC 2026","room admin CRUD","","",""
"","2818","the rooms table renders after login","webkit","Mon Sep 14 13:44:15 UTC 2026","passed","Mon Sep 14 13:44:17 UTC 2026","admin room management","","",""
"","2647","user can open the booking form from a room card","chromium","Mon Sep 14 13:43:59 UTC 2026","passed","Mon Sep 14 13:44:01 UTC 2026","booking flow","","",""
"","1621","rejects login: wrong user, right password","firefox","Mon Sep 14 13:43:55 UTC 2026","passed","Mon Sep 14 13:43:57 UTC 2026","admin login","","",""
"","3233","branding details load from the nav","chromium","Mon Sep 14 13:43:43 UTC 2026","passed","Mon Sep 14 13:43:46 UTC 2026","admin branding page","","",""
"","3276","the inbox lists messages","firefox","Mon Sep 14 13:43:58 UTC 2026","passed","Mon Sep 14 13:44:02 UTC 2026","admin message inbox","","",""
"","0","cancel closes the booking form","chromium","Mon Sep 14 13:44:01 UTC 2026","skipped","Mon Sep 14 13:44:01 UTC 2026","booking flow","","",""
"","1754","contact section is reachable by scrolling","chromium","Mon Sep 14 13:43:03 UTC 2026","passed","Mon Sep 14 13:43:04 UTC 2026","@smoke home page","","",""
"","1","happy path: guest details + future dates produce a confirmation","chromium","Mon Sep 14 13:44:01 UTC 2026","skipped","Mon Sep 14 13:44:01 UTC 2026","booking flow","","",""
"","2266","rejects login: empty password","webkit","Mon Sep 14 13:44:09 UTC 2026","passed","Mon Sep 14 13:44:11 UTC 2026","admin login","","",""
"","1403","rejects login: empty password","firefox","Mon Sep 14 13:43:57 UTC 2026","passed","Mon Sep 14 13:43:59 UTC 2026","admin login","","",""
"","0","mobile: dates can be picked via calendar widget","chromium","Mon Sep 14 13:44:01 UTC 2026","skipped","Mon Sep 14 13:44:01 UTC 2026","booking flow","","",""
"","0","mobile: dates can be picked via calendar widget","webkit","Mon Sep 14 13:44:24 UTC 2026","skipped","Mon Sep 14 13:44:24 UTC 2026","booking flow","","",""
"","4548","a message sent via the contact API shows up in the inbox","webkit","Mon Sep 14 13:44:11 UTC 2026","passed","Mon Sep 14 13:44:16 UTC 2026","admin message inbox","","",""
"","3343","admin can create a room and see it listed","chromium","Mon Sep 14 13:43:58 UTC 2026","passed","Mon Sep 14 13:44:01 UTC 2026","admin room management","","",""
"","1","PATCH partially updates the booking","api","Mon Sep 14 13:43:31 UTC 2026","skipped","Mon Sep 14 13:43:31 UTC 2026","booking CRUD","","",""
"","0","happy path: guest details + future dates produce a confirmation","webkit","Mon Sep 14 13:44:24 UTC 2026","skipped","Mon Sep 14 13:44:24 UTC 2026","booking flow","","",""
"","249","validate rejects an obviously broken token","api","Mon Sep 14 13:43:29 UTC 2026","passed","Mon Sep 14 13:43:30 UTC 2026","auth API","","",""
"","1006","DELETE removes the booking","api","Mon Sep 14 13:43:31 UTC 2026","passed","Mon Sep 14 13:43:32 UTC 2026","booking CRUD","","",""
"","686","validate confirms a freshly issued token","api","Mon Sep 14 13:43:29 UTC 2026","passed","Mon Sep 14 13:43:30 UTC 2026","auth API","","",""
"","254","an unknown roomid yields an empty booking list","api","Mon Sep 14 13:43:30 UTC 2026","passed","Mon Sep 14 13:43:31 UTC 2026","booking filter edges","","",""
